model_name,optimizer,loss,epoch,batch_size,learning_rate,idx_repeat,test_loss,test_accuracy
model_01,adam,binary_crossentropy,10,128,0.001,2,0.5481598377227783,0.5933660864830017
model_01,adam,binary_crossentropy,10,128,0.001,3,1.144157886505127,0.5307125449180603
model_01,adam,binary_crossentropy,10,128,0.001,4,0.5111976265907288,0.5958231091499329
model_01,adam,binary_crossentropy,10,128,0.0001,0,20.769412994384766,0.3439803421497345
model_01,adam,binary_crossentropy,10,128,0.0001,1,26.82750129699707,0.4950859844684601
model_01,adam,binary_crossentropy,10,128,0.0001,2,35.023433685302734,0.12162162363529205
model_01,adam,binary_crossentropy,10,128,0.0001,3,29.65963363647461,0.5307125449180603
model_01,adam,binary_crossentropy,10,128,0.0001,4,13.67043399810791,0.47788697481155396
model_01,adam,binary_crossentropy,10,128,1e-05,0,56.4857177734375,0.2002456933259964
model_01,adam,binary_crossentropy,10,128,1e-05,1,32.05854034423828,0.11302211135625839
model_01,adam,binary_crossentropy,10,128,1e-05,2,24.111106872558594,0.057739559561014175
model_01,adam,binary_crossentropy,10,128,1e-05,3,84.65741729736328,0.07371007651090622
model_01,adam,binary_crossentropy,10,128,1e-05,4,78.87615203857422,0.08353808522224426
model_01,adam,binary_crossentropy,30,32,0.001,0,0.5953838229179382,0.5921375751495361
model_01,adam,binary_crossentropy,30,32,0.001,1,0.8450206518173218,0.585995078086853
model_01,adam,binary_crossentropy,30,32,0.001,2,0.47286590933799744,0.5970516204833984
model_01,adam,binary_crossentropy,30,32,0.001,3,0.48568081855773926,0.5945945978164673
model_01,adam,binary_crossentropy,30,32,0.001,4,0.6566243767738342,0.5368550419807434
model_01,adam,binary_crossentropy,30,32,0.0001,0,1.0993399620056152,0.560196578502655
model_01,adam,binary_crossentropy,30,32,0.0001,1,0.5857629179954529,0.5884521007537842
model_01,adam,binary_crossentropy,30,32,0.0001,2,0.5597745180130005,0.5872235894203186
model_01,adam,binary_crossentropy,30,32,0.0001,3,0.7709670066833496,0.5417690277099609
model_01,adam,binary_crossentropy,30,32,0.0001,4,1.5296167135238647,0.5700245499610901
model_01,adam,binary_crossentropy,30,32,1e-05,0,6.883281707763672,0.45945945382118225
model_01,adam,binary_crossentropy,30,32,1e-05,1,37.528865814208984,0.4115478992462158
model_01,adam,binary_crossentropy,30,32,1e-05,2,20.274234771728516,0.3169533312320709
model_01,adam,binary_crossentropy,30,32,1e-05,3,5.351682662963867,0.3058968186378479
model_01,adam,binary_crossentropy,30,32,1e-05,4,1.4533971548080444,0.5909090638160706
model_01,adam,binary_crossentropy,30,128,0.001,0,0.5944167375564575,0.5810810923576355
model_01,adam,binary_crossentropy,30,128,0.001,1,0.8294417262077332,0.5184274911880493
model_01,adam,binary_crossentropy,30,128,0.001,2,0.5836994647979736,0.5872235894203186
model_01,adam,binary_crossentropy,30,128,0.001,3,0.5076198577880859,0.5945945978164673
model_01,adam,binary_crossentropy,30,128,0.001,4,0.5026026368141174,0.5958231091499329
model_01,adam,binary_crossentropy,30,128,0.0001,0,5.147951602935791,0.45208844542503357
model_01,adam,binary_crossentropy,30,128,0.0001,1,1.3026115894317627,0.4754299819469452
model_01,adam,binary_crossentropy,30,128,0.0001,2,5.511769771575928,0.46560195088386536
model_01,adam,binary_crossentropy,30,128,0.0001,3,2.050845146179199,0.5319410562515259
model_01,adam,binary_crossentropy,30,128,0.0001,4,3.5591723918914795,0.5872235894203186
model_01,adam,binary_crossentropy,30,128,1e-05,0,78.05716705322266,0.22235871851444244
model_01,adam,binary_crossentropy,30,128,1e-05,1,4.89281702041626,0.13636364042758942
model_01,adam,binary_crossentropy,30,128,1e-05,2,200.55764770507812,0.04176904261112213
model_01,adam,binary_crossentropy,30,128,1e-05,3,85.21138000488281,0.04668304696679115
