model_name,optimizer,loss,epoch,batch_size,learning_rate,idx_repeat,test_loss,test_accuracy
model_01,adam,binary_crossentropy,200,128,0.001,4,0.3909718692302704,0.6997950673103333
model_01,adam,binary_crossentropy,200,128,0.0001,0,0.41816627979278564,0.6997950673103333
model_01,adam,binary_crossentropy,200,128,0.0001,1,0.3910360634326935,0.7028688788414001
model_01,adam,binary_crossentropy,200,128,0.0001,2,0.5024701356887817,0.6926229596138
model_01,adam,binary_crossentropy,200,128,0.0001,3,0.42011532187461853,0.7008196711540222
model_01,adam,binary_crossentropy,200,128,0.0001,4,0.411796510219574,0.7018442749977112
model_01,adam,binary_crossentropy,200,128,1e-05,0,1.51051664352417,0.6065573692321777
model_01,adam,binary_crossentropy,200,128,1e-05,1,0.44629138708114624,0.6905737519264221
model_01,adam,binary_crossentropy,200,128,1e-05,2,0.5403538942337036,0.6823770403862
model_01,adam,binary_crossentropy,200,128,1e-05,3,1.1697046756744385,0.6280737519264221
model_01,adam,binary_crossentropy,200,128,1e-05,4,0.6063761711120605,0.688524603843689
model_01,sgd,categorical_crossentropy,10,32,0.001,0,1.3862972259521484,0.16086065769195557
model_01,sgd,categorical_crossentropy,10,32,0.001,1,1.0657373666763306,0.7018442749977112
model_01,sgd,categorical_crossentropy,10,32,0.001,2,1.3821978569030762,0.16086065769195557
model_01,sgd,categorical_crossentropy,10,32,0.001,3,1.3499996662139893,0.15881147980690002
model_01,sgd,categorical_crossentropy,10,32,0.001,4,1.1540305614471436,0.7008196711540222
model_01,sgd,categorical_crossentropy,10,32,0.0001,0,1.1410551071166992,0.7018442749977112
model_01,sgd,categorical_crossentropy,10,32,0.0001,1,1.1920930376163597e-07,0.16086065769195557
model_01,sgd,categorical_crossentropy,10,32,0.0001,2,1.2361806631088257,0.6362704634666443
model_01,sgd,categorical_crossentropy,10,32,0.0001,3,1.3906875848770142,0.16598360240459442
model_01,sgd,categorical_crossentropy,10,32,0.0001,4,1.224367380142212,0.6475409865379333
model_01,sgd,categorical_crossentropy,10,32,1e-05,0,4.238112926483154,0.32479506731033325
model_01,sgd,categorical_crossentropy,10,32,1e-05,1,1.1920930376163597e-07,0.16086065769195557
model_01,sgd,categorical_crossentropy,10,32,1e-05,2,1.6055803298950195,0.0973360687494278
model_01,sgd,categorical_crossentropy,10,32,1e-05,3,1.9300036430358887,0.4436475336551666
model_01,sgd,categorical_crossentropy,10,32,1e-05,4,4.560847282409668,0.1321721374988556
model_01,sgd,categorical_crossentropy,10,128,0.001,0,1.3614654541015625,0.15573769807815552
model_01,sgd,categorical_crossentropy,10,128,0.001,1,1.1415783166885376,0.6977459192276001
model_01,sgd,categorical_crossentropy,10,128,0.001,2,1.1920930376163597e-07,0.16086065769195557
model_01,sgd,categorical_crossentropy,10,128,0.001,3,2.0528368949890137,0.16188524663448334
model_01,sgd,categorical_crossentropy,10,128,0.001,4,1.3870515823364258,0.15778689086437225
model_01,sgd,categorical_crossentropy,10,128,0.0001,0,1.4907253980636597,0.2745901644229889
